iter	Passed	Remaining
0	26	53303
1	73	72971
2	117	78116
3	160	80174
4	203	81061
5	250	83201
6	295	84143
7	338	84202
8	382	84568
9	426	84847
10	480	86875
11	526	87189
12	572	87439
13	616	87469
14	662	87670
15	706	87624
16	750	87550
17	797	87845
18	841	87710
19	888	87974
20	931	87759
21	974	87599
22	1020	87754
23	1065	87697
24	1109	87653
25	1153	87571
26	1197	87496
27	1245	87684
28	1289	87665
29	1336	87755
30	1381	87723
31	1427	87783
32	1478	88150
33	1523	88104
34	1571	88254
35	1615	88124
36	1664	88303
37	1710	88304
38	1755	88254
39	1797	88089
40	1842	88041
41	1890	88138
42	1935	88071
43	1977	87900
44	2022	87848
45	2066	87767
46	2110	87713
47	2156	87702
48	2201	87640
49	2244	87543
50	2289	87479
51	2335	87479
52	2379	87429
53	2426	87452
54	2476	87586
55	2522	87556
56	2569	87594
57	2617	87638
58	2662	87584
59	2705	87489
60	2749	87406
61	2796	87418
62	2841	87371
63	2887	87339
64	2932	87310
65	2976	87207
66	3022	87196
67	3066	87127
68	3110	87048
69	3153	86951
70	3197	86877
71	3242	86829
72	3290	86852
73	3334	86790
74	3378	86707
75	3424	86687
76	3473	86736
77	3517	86679
78	3564	86683
79	3609	86621
80	3658	86683
81	3702	86601
82	3746	86531
83	3789	86446
84	3833	86356
85	3881	86378
86	3925	86309
87	3970	86263
88	4015	86214
89	4059	86146
90	4103	86087
91	4147	86014
92	4190	85936
93	4235	85888
94	4279	85808
95	4322	85732
96	4366	85660
97	4412	85636
98	4462	85687
99	4508	85665
100	4552	85587
101	4600	85596
102	4646	85580
103	4691	85538
104	4733	85430
105	4778	85385
106	4823	85339
107	4872	85362
108	4916	85302
109	4961	85256
110	5006	85206
111	5050	85144
112	5096	85109
113	5141	85066
114	5184	84972
115	5228	84916
116	5273	84866
117	5319	84836
118	5362	84769
119	5408	84732
120	5462	84824
121	5507	84783
122	5556	84796
123	5600	84723
124	5644	84674
125	5693	84677
126	5738	84634
127	5785	84608
128	5829	84544
129	5874	84502
130	5919	84450
131	5963	84388
132	6009	84363
133	6054	84305
134	6100	84282
135	6144	84216
136	6188	84154
137	6234	84117
138	6276	84038
139	6322	83998
140	6368	83969
141	6415	83939
142	6467	83983
143	6512	83937
144	6556	83878
145	6600	83816
146	6649	83819
147	6693	83755
148	6740	83737
149	6788	83721
150	6835	83698
151	6883	83683
152	6926	83620
153	6969	83546
154	7013	83483
155	7056	83415
156	7101	83363
157	7147	83325
158	7191	83262
159	7239	83252
160	7283	83192
161	7335	83231
162	7381	83185
163	7429	83171
164	7476	83147
165	7520	83087
166	7567	83063
167	7613	83024
168	7661	83004
169	7705	82950
170	7753	82931
171	7800	82898
172	7847	82870
173	7891	82813
174	7934	82749
175	7980	82704
176	8024	82652
177	8068	82589
178	8116	82566
179	8159	82506
180	8205	82466
181	8250	82410
182	8296	82372
183	8342	82335
184	8386	82277
185	8434	82258
186	8482	82239
187	8526	82183
188	8574	82159
189	8617	82088
190	8662	82042
191	8707	81998
192	8753	81959
193	8802	81948
194	8848	81900
195	8892	81846
196	8937	81794
197	8980	81730
198	9027	81701
199	9071	81642
200	9117	81601
201	9161	81547
202	9206	81496
203	9254	81471
204	9297	81408
205	9342	81363
206	9387	81315
207	9438	81320
208	9485	81284
209	9529	81227
210	9574	81179
211	9618	81125
212	9665	81091
213	9710	81042
214	9755	80994
215	9803	80969
216	9847	80915
217	9891	80859
218	9937	80819
219	9982	80767
220	10026	80709
221	10070	80658
222	10115	80605
223	10160	80557
224	10204	80504
225	10247	80441
226	10291	80385
227	10337	80339
228	10382	80297
229	10434	80298
230	10479	80253
231	10523	80197
232	10569	80153
233	10616	80126
234	10662	80083
235	10706	80026
236	10751	79976
237	10794	79918
238	10846	79917
239	10890	79863
240	10935	79818
241	10980	79770
242	11025	79719
243	11070	79672
244	11115	79625
245	11160	79572
246	11204	79521
247	11252	79491
248	11296	79440
249	11341	79390
250	11385	79338
251	11438	79341
252	11486	79312
253	11530	79259
254	11574	79202
255	11598	79011
256	11642	78958
257	11688	78921
258	11732	78868
259	11776	78813
260	11823	78775
261	11870	78742
262	11918	78713
263	11962	78661
264	12007	78617
265	12051	78563
266	12095	78507
267	12141	78464
268	12184	78404
269	12230	78367
270	12275	78318
271	12320	78268
272	12367	78233
273	12418	78225
274	12466	78200
275	12511	78153
276	12556	78103
277	12581	77930
278	12625	77878
279	12672	77845
280	12716	77793
281	12761	77743
282	12810	77724
283	12855	77673
284	12903	77645
285	12946	77585
286	12991	77538
287	13037	77497
288	13080	77440
289	13124	77390
290	13168	77339
291	13211	77278
292	13256	77231
293	13303	77195
294	13350	77162
295	13394	77107
296	13446	77102
297	13490	77050
298	13535	77004
299	13581	76961
300	13624	76902
301	13669	76857
302	13712	76801
303	13757	76754
304	13805	76723
305	13849	76670
306	13894	76621
307	13942	76591
308	13986	76541
309	14032	76501
310	14077	76455
311	14121	76402
312	14172	76389
313	14229	76404
314	14281	76393
315	14332	76382
316	14385	76374
317	14448	76422
318	14502	76420
319	14554	76413
320	14606	76399
321	14661	76401
322	14714	76395
323	14768	76394
324	14823	76397
325	14875	76383
326	14927	76373
327	14982	76372
328	15008	76228
329	15061	76217
330	15113	76207
331	15166	76198
332	15219	76188
333	15271	76174
334	15326	76173
335	15380	76168
336	15439	76187
337	15492	76178
338	15545	76169
339	15598	76155
340	15652	76149
341	15703	76130
342	15755	76111
343	15809	76108
344	15862	76092
345	15914	76076
346	15965	76054
347	16021	76055
348	16074	76042
349	16126	76023
350	16179	76010
351	16232	75996
352	16286	75987
353	16336	75961
354	16389	75944
355	16416	75812
356	16474	75820
357	16524	75792
358	16576	75770
359	16632	75768
360	16685	75755
361	16738	75737
362	16794	75736
363	16846	75717
364	16897	75693
365	16950	75676
366	17006	75672
367	17060	75661
368	17114	75646
369	17166	75623
370	17220	75614
371	17275	75602
372	17329	75588
373	17383	75575
374	17441	75580
375	17496	75569
376	17549	75553
377	17602	75530
378	17654	75509
379	17707	75490
380	17764	75489
381	17827	75509
382	17884	75507
383	17911	75378
384	17965	75362
385	18011	75310
386	18059	75269
387	18104	75219
388	18148	75160
389	18193	75107
390	18238	75052
391	18291	75030
392	18339	74990
393	18386	74944
394	18438	74919
395	18483	74866
396	18527	74809
397	18573	74761
398	18618	74708
399	18669	74678
400	18722	74655
401	18784	74670
402	18840	74660
403	18898	74657
404	18951	74634
405	19003	74610
406	19055	74582
407	19111	74574
408	19164	74548
409	19219	74532
410	19271	74507
411	19329	74502
412	19391	74513
413	19453	74523
414	19497	74467
415	19544	74417
416	19587	74357
417	19631	74299
418	19677	74249
419	19720	74187
420	19765	74133
421	19809	74075
422	19853	74018
423	19898	73963
424	19945	73914
425	19992	73868
426	20036	73812
427	20080	73755
428	20129	73713
429	20172	73654
430	20218	73604
431	20263	73548
432	20307	73491
433	20351	73434
434	20406	73414
435	20454	73372
436	20499	73319
437	20543	73262
438	20587	73206
439	20632	73150
440	20680	73106
441	20724	73050
442	20769	72997
443	20814	72942
444	20860	72895
445	20908	72852
446	20951	72789
447	20998	72745
448	21042	72689
449	21089	72641
450	21110	72505
451	21157	72460
452	21200	72399
453	21243	72340
454	21286	72280
455	21331	72229
456	21379	72186
457	21427	72141
458	21473	72091
459	21518	72040
460	21562	71982
461	21605	71925
462	21650	71871
463	21693	71812
464	21737	71758
465	21783	71708
466	21826	71650
467	21872	71601
468	21917	71548
469	21964	71503
470	22010	71451
471	22055	71399
472	22100	71347
473	22144	71292
474	22194	71255
475	22239	71203
476	22284	71151
477	22330	71101
478	22382	71072
479	22430	71029
480	22475	70978
481	22521	70929
482	22566	70875
483	22610	70820
484	22656	70772
485	22700	70717
486	22744	70661
487	22767	70543
488	22809	70482
489	22853	70426
490	22897	70371
491	22941	70315
492	22986	70264
493	23030	70211
494	23074	70156
495	23118	70102
496	23161	70044
497	23212	70009
498	23256	69956
499	23304	69913
500	23352	69872
501	23403	69836
502	23448	69787
503	23492	69732
504	23537	69679
505	23583	69633
506	23627	69577
507	23672	69526
508	23715	69468
509	23762	69423
510	23805	69366
511	23850	69315
512	23896	69268
513	23940	69213
514	23985	69162
515	24030	69112
516	24074	69056
517	24122	69014
518	24167	68962
519	24212	68912
520	24259	68868
521	24305	68818
522	24355	68781
523	24402	68737
524	24447	68687
525	24492	68633
526	24541	68593
527	24588	68549
528	24634	68502
529	24679	68449
530	24724	68398
531	24771	68353
532	24815	68300
533	24859	68245
534	24903	68192
535	24946	68137
536	24994	68093
537	25038	68042
538	25082	67986
539	25127	67935
540	25173	67889
541	25218	67839
542	25265	67792
543	25309	67740
544	25359	67704
545	25409	67665
546	25457	67621
547	25501	67569
548	25545	67515
549	25589	67463
550	25634	67411
551	25681	67368
552	25728	67322
553	25774	67274
554	25819	67222
555	25865	67175
556	25910	67126
557	25955	67075
558	26000	67023
559	26045	66974
560	26094	66932
561	26140	66885
562	26188	66843
563	26233	66794
564	26277	66739
565	26326	66701
566	26380	66672
567	26424	66620
568	26470	66571
569	26514	66519
570	26562	66477
571	26606	66423
572	26652	66374
573	26697	66324
574	26744	66280
575	26791	66235
576	26838	66189
577	26885	66142
578	26929	66090
579	26973	66038
580	27018	65989
581	27063	65938
582	27107	65886
583	27151	65834
584	27196	65782
585	27243	65736
586	27287	65684
587	27339	65650
588	27388	65610
589	27432	65558
590	27478	65512
591	27522	65459
592	27567	65408
593	27611	65356
594	27655	65304
595	27699	65251
596	27746	65207
597	27794	65164
598	27837	65108
599	27881	65057
600	27926	65007
601	27969	64952
602	28016	64907
603	28060	64855
604	28106	64806
605	28150	64755
606	28194	64704
607	28240	64656
608	28288	64613
609	28339	64576
610	28389	64539
611	28433	64487
612	28480	64440
613	28524	64389
614	28567	64334
615	28612	64284
616	28657	64234
617	28703	64188
618	28748	64139
619	28793	64089
620	28839	64041
621	28882	63987
622	28927	63937
623	28972	63887
624	29017	63837
625	29061	63786
626	29106	63737
627	29151	63687
628	29195	63636
629	29240	63587
630	29286	63538
631	29337	63502
632	29388	63467
633	29432	63415
634	29476	63363
635	29521	63312
636	29565	63262
637	29610	63211
638	29655	63163
639	29701	63115
640	29747	63069
641	29794	63023
642	29840	62976
643	29885	62927
644	29932	62880
645	29976	62830
646	30023	62785
647	30068	62734
648	30112	62683
649	30155	62631
650	30200	62580
651	30247	62535
652	30291	62484
653	30343	62450
654	30388	62400
655	30438	62361
656	30489	62324
657	30534	62276
658	30579	62227
659	30624	62176
660	30671	62132
661	30717	62085
662	30761	62034
663	30806	61984
664	30852	61936
665	30899	61890
666	30943	61840
667	30989	61792
668	31033	61743
669	31079	61694
670	31124	61646
671	31168	61595
672	31212	61544
673	31259	61498
674	31304	61449
675	31358	61418
676	31404	61370
677	31451	61325
678	31498	61280
679	31543	61230
680	31588	61181
681	31634	61134
682	31679	61087
683	31727	61042
684	31771	60992
685	31815	60940
686	31859	60890
687	31906	60844
688	31951	60795
689	31996	60747
690	32043	60702
691	32087	60651
692	32133	60604
693	32178	60555
694	32223	60506
695	32268	60456
696	32317	60416
697	32371	60382
698	32415	60332
699	32462	60287
700	32510	60244
701	32557	60198
702	32602	60150
703	32648	60102
704	32694	60055
705	32739	60006
706	32786	59961
707	32829	59909
708	32874	59859
709	32919	59811
710	32963	59760
711	33010	59716
712	33055	59667
713	33101	59618
714	33144	59567
715	33190	59519
716	33236	59473
717	33284	59429
718	33334	59389
719	33377	59337
720	33422	59289
721	33469	59243
722	33515	59196
723	33559	59146
724	33603	59095
725	33649	59048
726	33696	59003
727	33739	58952
728	33784	58903
729	33829	58854
730	33874	58806
731	33919	58757
732	33963	58706
733	34010	58661
734	34055	58613
735	34104	58570
736	34149	58521
737	34199	58481
738	34243	58432
739	34287	58382
740	34341	58347
741	34386	58299
742	34431	58251
743	34476	58202
744	34520	58152
745	34567	58106
746	34611	58056
747	34659	58012
748	34706	57967
749	34749	57916
750	34794	57867
751	34838	57817
752	34884	57770
753	34928	57720
754	34971	57668
755	35017	57620
756	35061	57571
757	35108	57526
758	35151	57474
759	35195	57424
760	35240	57376
761	35284	57324
762	35339	57292
763	35383	57243
764	35427	57193
765	35472	57145
766	35516	57094
767	35564	57052
768	35610	57004
769	35657	56959
770	35703	56912
771	35748	56863
772	35793	56815
773	35839	56769
774	35883	56719
775	35934	56680
776	35987	56643
777	36033	56596
778	36078	56549
779	36124	56501
780	36169	56453
781	36215	56408
782	36261	56360
783	36311	56320
784	36361	56279
785	36406	56230
786	36452	56184
787	36497	56135
788	36541	56085
789	36587	56038
790	36635	55995
791	36684	55952
792	36727	55901
793	36770	55850
794	36816	55804
795	36862	55757
796	36907	55708
797	36952	55659
798	36997	55611
799	37041	55562
800	37086	55514
801	37130	55464
802	37175	55415
803	37221	55369
804	37265	55319
805	37320	55286
806	37368	55242
807	37413	55194
808	37458	55146
809	37503	55098
810	37551	55053
811	37594	55003
812	37643	54960
813	37689	54914
814	37733	54864
815	37779	54817
816	37822	54766
817	37867	54717
818	37911	54669
819	37956	54619
820	38000	54571
821	38044	54521
822	38090	54475
823	38136	54427
824	38179	54377
825	38223	54327
826	38268	54278
827	38323	54245
828	38369	54198
829	38414	54150
830	38459	54102
831	38503	54053
832	38550	54007
833	38594	53958
834	38643	53915
835	38689	53869
836	38734	53820
837	38781	53775
838	38825	53726
839	38869	53676
840	38915	53630
841	38961	53583
842	39008	53538
843	39051	53488
844	39094	53437
845	39140	53389
846	39183	53340
847	39230	53293
848	39275	53245
849	39326	53206
850	39373	53161
851	39420	53116
852	39465	53068
853	39510	53019
854	39555	52971
855	39599	52922
856	39647	52878
857	39695	52834
858	39740	52787
859	39784	52737
860	39829	52689
861	39876	52644
862	39921	52596
863	39964	52546
864	40008	52497
865	40052	52447
866	40098	52401
867	40143	52353
868	40188	52305
869	40234	52258
870	40282	52214
871	40331	52171
872	40376	52123
873	40420	52074
874	40463	52024
875	40510	51978
876	40554	51929
877	40596	51877
878	40644	51834
879	40690	51787
880	40736	51741
881	40780	51691
882	40824	51642
883	40867	51593
884	40920	51555
885	40977	51522
886	41035	51490
887	41087	51451
888	41144	51418
889	41200	51385
890	41253	51347
891	41307	51310
892	41360	51272
893	41414	51235
894	41463	51192
895	41517	51155
896	41572	51119
897	41624	51080
898	41678	51043
899	41736	51010
900	41789	50972
901	41842	50934
902	41893	50893
903	41938	50846
904	41984	50799
905	42029	50750
906	42073	50701
907	42119	50655
908	42165	50608
909	42210	50560
910	42256	50512
911	42309	50474
912	42359	50432
913	42406	50387
914	42453	50340
915	42498	50293
916	42543	50244
917	42587	50195
918	42636	50152
919	42681	50104
920	42726	50056
921	42775	50013
922	42820	49964
923	42867	49919
924	42913	49872
925	42958	49824
926	43002	49775
927	43047	49727
928	43093	49680
929	43139	49633
930	43184	49585
931	43228	49536
932	43280	49496
933	43329	49452
934	43375	49406
935	43422	49360
936	43466	49311
937	43512	49264
938	43557	49216
939	43602	49168
940	43651	49125
941	43697	49078
942	43744	49033
943	43792	48988
944	43837	48940
945	43881	48891
946	43925	48842
947	43973	48798
948	44018	48750
949	44062	48700
950	44107	48652
951	44152	48604
952	44198	48558
953	44244	48510
954	44296	48470
955	44340	48422
956	44385	48374
957	44429	48324
958	44473	48276
959	44520	48230
960	44563	48180
961	44607	48132
962	44655	48087
963	44697	48036
964	44742	47988
965	44786	47939
966	44834	47894
967	44878	47845
968	44923	47798
969	44971	47753
970	45018	47707
971	45065	47661
972	45108	47611
973	45153	47564
974	45199	47517
975	45244	47469
976	45297	47430
977	45342	47382
978	45390	47337
979	45436	47291
980	45480	47242
981	45523	47192
982	45568	47144
983	45616	47100
984	45663	47054
985	45707	47005
986	45751	46956
987	45798	46910
988	45846	46866
989	45891	46818
990	45936	46770
991	45980	46722
992	46026	46675
993	46070	46626
994	46115	46578
995	46161	46532
996	46205	46483
997	46254	46440
998	46305	46398
999	46349	46349
1000	46394	46301
1001	46438	46253
1002	46486	46207
1003	46531	46160
1004	46576	46112
1005	46622	46066
1006	46667	46018
1007	46713	45972
1008	46758	45923
1009	46801	45874
1010	46847	45827
1011	46895	45783
1012	46939	45734
1013	46983	45686
1014	47030	45640
1015	47076	45593
1016	47120	45545
1017	47169	45501
1018	47216	45455
1019	47266	45412
1020	47312	45366
1021	47357	45318
1022	47400	45269
1023	47448	45224
1024	47494	45178
1025	47539	45129
1026	47582	45080
1027	47629	45034
1028	47673	44986
1029	47717	44937
1030	47761	44889
1031	47804	44840
1032	47848	44791
1033	47894	44744
1034	47943	44700
1035	47987	44652
1036	48030	44602
1037	48074	44554
1038	48121	44508
1039	48166	44461
1040	48210	44413
1041	48262	44371
1042	48310	44326
1043	48356	44280
1044	48399	44231
1045	48445	44184
1046	48489	44135
1047	48535	44089
1048	48581	44042
1049	48628	43997
1050	48673	43950
1051	48717	43901
1052	48761	43852
1053	48808	43806
1054	48853	43759
1055	48897	43711
1056	48946	43667
1057	48992	43620
1058	49040	43575
1059	49085	43528
1060	49129	43480
1061	49174	43432
1062	49219	43385
1063	49274	43346
1064	49320	43300
1065	49366	43253
1066	49411	43205
1067	49455	43157
1068	49501	43110
1069	49545	43062
1070	49588	43013
1071	49635	42967
1072	49679	42920
1073	49723	42871
1074	49767	42823
1075	49813	42776
1076	49858	42729
1077	49903	42682
1078	49951	42636
1079	49997	42590
1080	50042	42543
1081	50086	42495
1082	50132	42448
1083	50178	42402
1084	50226	42356
1085	50280	42316
1086	50325	42269
1087	50374	42225
1088	50417	42176
1089	50462	42129
1090	50507	42081
1091	50552	42034
1092	50599	41988
1093	50645	41942
1094	50690	41894
1095	50734	41847
1096	50779	41799
1097	50825	41752
1098	50870	41705
1099	50895	41642
1100	50940	41594
1101	50988	41549
1102	51033	41502
1103	51079	41455
1104	51124	41408
1105	51170	41362
1106	51216	41315
1107	51265	41271
1108	51313	41226
1109	51357	41178
1110	51400	41129
1111	51444	41081
1112	51492	41036
1113	51536	40988
1114	51578	40938
1115	51627	40894
1116	51670	40845
1117	51714	40798
1118	51759	40750
1119	51805	40704
1120	51849	40656
1121	51893	40608
1122	51938	40560
1123	51982	40513
1124	52031	40468
1125	52075	40420
1126	52119	40373
1127	52163	40324
1128	52207	40276
1129	52256	40232
1130	52304	40188
1131	52348	40140
1132	52392	40092
1133	52438	40045
1134	52484	39998
1135	52526	39949
1136	52570	39902
1137	52616	39855
1138	52661	39808
1139	52706	39760
1140	52750	39712
1141	52794	39665
1142	52839	39617
1143	52884	39570
1144	52932	39525
1145	52975	39477
1146	53020	39430
1147	53068	39385
1148	53111	39336
1149	53156	39289
1150	53204	39244
1151	53250	39198
1152	53302	39156
1153	53348	39110
1154	53390	39060
1155	53434	39012
1156	53477	38964
1157	53522	38916
1158	53568	38870
1159	53615	38824
1160	53658	38776
1161	53702	38728
1162	53747	38681
1163	53793	38634
1164	53836	38587
1165	53880	38538
1166	53922	38489
1167	53965	38441
1168	54012	38395
1169	54054	38346
1170	54102	38301
1171	54147	38254
1172	54191	38206
1173	54242	38163
1174	54289	38117
1175	54331	38069
1176	54375	38021
1177	54419	37973
1178	54465	37927
1179	54508	37879
1180	54554	37832
1181	54600	37785
1182	54645	37739
1183	54691	37692
1184	54734	37644
1185	54779	37597
1186	54823	37549
1187	54867	37501
1188	54911	37454
1189	54955	37406
1190	54999	37359
1191	55043	37311
1192	55087	37263
1193	55135	37218
1194	55178	37170
1195	55227	37125
1196	55277	37082
1197	55324	37037
1198	55367	36988
1199	55415	36943
1200	55459	36895
1201	55502	36847
1202	55546	36800
1203	55593	36754
1204	55641	36709
1205	55684	36661
1206	55729	36614
1207	55775	36568
1208	55819	36520
1209	55865	36473
1210	55909	36426
1211	55953	36379
1212	55998	36331
1213	56040	36283
1214	56086	36237
1215	56129	36188
1216	56176	36143
1217	56222	36096
1218	56275	36055
1219	56322	36009
1220	56368	35963
1221	56412	35915
1222	56456	35868
1223	56500	35820
1224	56545	35773
1225	56590	35727
1226	56636	35680
